arr24,real_value,mean_prediction,median_prediction,desc
223,,0.131718375736069,0.129262911272055,dml-diag_calcium
232,,0.0680078955821646,0.0720728351478228,dml-diag_calcium
231,,0.184179250801776,0.196059219530507,dml-diag_calcium
242,,0.135606171148772,0.124487046331358,dml-diag_calcium
243,,0.022638577261147,0.0243953826085597,dml-diag_calcium
244,,0.0164206536490429,0.0146078055055328,dml-diag_calcium
241,,0.0125782111876322,0.013410860550786,dml-diag_calcium
251,,0.0643627346003321,0.0624744819396782,dml-diag_calcium
252,,0.0787976264984309,0.076906400651788,dml-diag_calcium
253,,0.159638378827922,0.159054449867889,dml-diag_calcium
261,,0.0217281337883398,0.0227020229502121,dml-diag_calcium
263,,0.0639561992320718,0.0658115022049763,dml-diag_calcium
262,,0.0855206685603028,0.0934204251507952,dml-diag_calcium
272,,0.0848039089894127,0.0786122231875289,dml-diag_calcium
273,,0.15747125109832,0.161295048276664,dml-diag_calcium
271,,0.047216194337609,0.0443885569766348,dml-diag_calcium
283,,0.140167436719246,0.164302779413925,dml-diag_calcium
281,,0.0817708001702694,0.0769347721917906,dml-diag_calcium
282,,0.0835495051790536,0.0860334936420201,dml-diag_calcium
284,,0.0794877123266907,0.0740255329560605,dml-diag_calcium
292,,0.182822350468576,0.189695791249244,dml-diag_calcium
294,,0.0611525969592938,0.0611706344933692,dml-diag_calcium
293,,0.126384027691546,0.151273730899747,dml-diag_calcium
291,,0.131084968334264,0.13648411666483,dml-diag_calcium
302,,0.0716457174315012,0.071268588098392,dml-diag_calcium
303,,0.0949211365628923,0.0957965085364742,dml-diag_calcium
301,,0.195624649088155,0.210886354574136,dml-diag_calcium
312,,0.0417884556130824,0.0451051698770489,dml-diag_calcium
313,,0.110893276464752,0.108294310983167,dml-diag_calcium
311,,0.101120518835688,0.10515905503659,dml-diag_calcium
323,,0.08352515131506,0.0935858867657093,dml-diag_calcium
321,,0.0529298536579481,0.0560210584765717,dml-diag_calcium
322,,0.0470313531671917,0.0470417697130148,dml-diag_calcium
335,,0.0192608952465053,0.0188399821539332,dml-diag_calcium
333,,0.0339919542364,0.0337359200321341,dml-diag_calcium
332,,0.0778050202579569,0.0791632393584278,dml-diag_calcium
336,,0.0588006423982493,0.0593529452872546,dml-diag_calcium
331,,0.134662435598088,0.13773184254082,dml-diag_calcium
334,,0.0403578499045943,0.0418883819777553,dml-diag_calcium
341,,0.0931417588169146,0.0872491584798707,dml-diag_calcium
342,,0.105930580447613,0.108999292827272,dml-diag_calcium
343,,0.127147338159974,0.124756048097785,dml-diag_calcium
353,,0.0817911048840097,0.0799243396854513,dml-diag_calcium
351,,0.0551676562119904,0.0499443466319025,dml-diag_calcium
354,,0.0615367546501331,0.0554501416933173,dml-diag_calcium
352,,0.0393098704059991,0.041865906408589,dml-diag_calcium
363,,0.00770849597794837,0.00812262946160347,dml-diag_calcium
364,,0.0803995007193072,0.0766296388482012,dml-diag_calcium
362,,0.0537849878177217,0.0537514607892885,dml-diag_calcium
361,,0.37704439700972,0.417101661722929,dml-diag_calcium
373,,0.0351431767078677,0.0303520611383295,dml-diag_calcium
371,,0.0523004983697381,0.0458050425555054,dml-diag_calcium
372,,0.10956233485497,0.108149367723913,dml-diag_calcium
382,,0.0661700287490709,0.0642614238402247,dml-diag_calcium
381,,0.0663034881261341,0.0650834029966905,dml-diag_calcium
383,,0.0707554940547473,0.0691072067857279,dml-diag_calcium
391,,0.0270471357009742,0.0262564825010919,dml-diag_calcium
392,,0.0438297584224039,0.0384493330923283,dml-diag_calcium
393,,0.166049867597701,0.16446227122464,dml-diag_calcium
402,,0.03922205437343,0.0405629953899056,dml-diag_calcium
401,,0.0521626979119214,0.0495547312425146,dml-diag_calcium
412,,0.040003586592536,0.0349052803372579,dml-diag_calcium
413,,0.0529601828588667,0.0432514008962159,dml-diag_calcium
411,,0.0626032190603104,0.0614523374330616,dml-diag_calcium
421,,0.0460756915753252,0.0455493730051815,dml-diag_calcium
422,,0.0325544471261326,0.0326455812134412,dml-diag_calcium
423,,0.0688920145214374,0.07222806035438,dml-diag_calcium
431,,0.0466936160692603,0.0439603712076625,dml-diag_calcium
432,,0.0549917308309371,0.0527290202007959,dml-diag_calcium
433,,0.0527559224789184,0.0532225720823313,dml-diag_calcium
445,,0.0633573524714354,0.0617646599097863,dml-diag_calcium
442,,0.063621678052176,0.0633285426029997,dml-diag_calcium
443,,0.0562168221641041,0.0546391779719631,dml-diag_calcium
